University Admission year,Gender,Age,H.S.C passing year,Current Semester,Do you have meritorious scholarship ?,Do you use University transportation?,How many hour do you study daily?,How many times do you seat for study in a day?,What is your preferable learning mode?,Do you use smart phone?,Do you have personal Computer?,How many hour do you spent daily in social media?,Average attendance on class,Did you ever fall in probation?,Did you ever got suspension?,Do you attend in teacher consultancy for any kind of academical problems?,How many hour do you spent daily on your skill development?,Are you engaged with any co-curriculum activities?,With whom you are living with?,Do you have any health issues?,What was your previous SGPA?,Do you have any physical disabilities?,What is your current CGPA?,How many Credit did you have completed?,What is your monthly family income?,Status of your English language proficiency_Basic,Status of your English language proficiency_Intermediate,What is your relationship status?_Married,What is your relationship status?_Relationship,What is your relationship status?_Single,Creditos_Normalizados,Semestres_Reales,Semestres_Teoricos,Semestres_Extra
2021,1,22,2019,4,1,1,3,2,1,1,1,3,90,0,0,1,1,1,0,0,13.400,0,15.750,36,50000,False,True,False,False,True,56.110,6,3,3
2021,1,22,2019,4,0,0,3,2,0,1,1,2,90,0,0,0,2,0,1,1,17.000,0,17.650,35,20000,True,False,False,False,True,54.552,6,3,3
2021,0,22,2020,4,0,1,1,1,0,1,1,1,100,0,0,1,2,0,0,0,13.400,0,15.750,36,50000,True,False,False,False,True,56.110,6,3,3
2021,0,21,2019,4,1,0,3,2,0,1,1,1,90,0,0,0,1,0,1,0,13.400,0,15.750,36,24000,False,True,False,False,True,56.110,6,3,3
2021,0,21,2018,4,0,1,2,2,0,1,1,1,97,0,0,0,2,0,0,0,13.400,0,15.750,36,70000,True,False,False,False,True,56.110,6,3,3
2021,1,20,2020,4,1,1,2,1,0,1,1,1,95,0,0,1,3,1,0,0,19.650,0,19.450,35,30000,True,False,False,False,True,54.552,6,3,3
2021,1,22,2019,4,1,1,5,3,1,1,1,1,95,0,0,1,2,1,0,0,13.400,0,15.750,36,40000,False,True,False,False,True,56.110,6,3,3
2021,0,21,2020,4,1,0,5,1,0,1,1,2,97,0,0,0,2,0,0,0,13.400,0,15.750,36,50000,True,False,False,False,True,56.110,6,3,3
2021,1,21,2020,4,1,0,1,2,1,1,1,3,70,0,0,1,2,0,0,0,15.500,0,17.500,35,62488,False,False,False,True,False,54.552,6,3,3
2021,1,19,2020,4,0,1,3,2,1,1,1,2,70,1,0,1,2,0,0,0,13.400,0,15.750,36,20000,False,True,False,False,True,56.110,6,3,3
2021,0,21,2019,4,1,0,3,2,0,1,1,2,96,0,0,1,1,1,1,0,19.050,0,18.250,34,30000,False,True,False,False,True,52.993,6,3,3
2021,1,21,2020,4,1,0,3,3,0,1,1,2,80,1,0,0,2,0,1,0,13.400,0,15.750,36,50000,False,True,False,False,True,56.110,6,3,3
2021,1,22,2020,4,1,0,2,1,0,1,1,2,98,0,0,1,2,1,1,0,13.400,0,15.750,36,20000,False,True,False,False,True,56.110,6,3,3
2020,0,21,2019,4,0,1,6,3,0,1,1,3,95,0,0,0,3,1,0,0,13.400,0,15.750,36,25000,False,True,False,False,True,56.110,8,3,5
2021,1,21,2020,4,1,1,1,1,1,1,1,1,85,0,0,1,2,1,1,1,19.450,0,19.050,35,35000,False,False,False,False,True,54.552,6,3,3
2021,0,20,2020,4,0,0,3,2,0,1,1,1,97,0,0,1,2,0,0,0,18.950,0,19.100,39,50000,True,False,False,False,True,60.786,6,3,3
2021,1,20,2020,4,0,0,4,3,0,1,0,3,95,0,0,0,2,1,1,0,13.400,0,15.750,36,4000,True,False,False,False,True,56.110,6,3,3
2021,1,19,2020,4,1,1,2,1,1,1,1,4,70,1,0,1,4,1,0,1,17.750,0,17.400,35,40000,False,True,False,False,True,54.552,6,3,3
2021,1,21,2020,4,1,1,2,1,1,1,1,2,95,0,0,1,2,1,1,1,16.400,0,16.600,36,8000,False,True,False,False,True,56.110,6,3,3
2021,1,25,2020,4,1,0,3,3,0,1,1,2,100,0,0,1,3,1,1,0,13.400,0,15.750,36,47972,False,True,False,False,True,56.110,6,3,3
2022,1,20,2020,2,1,1,3,3,1,1,1,4,90,0,0,1,2,0,0,0,13.400,0,15.750,11,30000,False,True,False,False,True,17.145,4,1,3
2022,1,20,2020,2,1,1,4,2,0,1,1,2,95,0,0,1,3,1,0,0,13.400,0,15.750,11,90000,False,True,False,False,True,17.145,4,1,3
2022,1,21,2021,2,0,0,5,5,0,1,1,2,90,0,0,0,1,0,1,0,13.400,0,15.750,11,30000,False,True,False,False,True,17.145,4,1,3
2021,1,23,2018,4,1,0,8,4,0,1,1,2,100,0,0,0,2,1,1,0,13.400,0,15.750,36,37000,False,True,False,False,True,56.110,6,3,3
2022,1,20,2020,2,1,1,1,1,0,1,1,2,95,0,0,0,1,1,0,0,13.400,0,15.750,11,35000,True,False,False,False,True,17.145,4,1,3
2022,0,20,2020,2,1,1,3,1,1,1,0,1,80,0,0,0,2,1,0,0,13.400,0,15.750,11,50000,False,True,False,False,True,17.145,4,1,3
2022,0,21,2019,2,1,0,2,1,0,1,1,3,99,0,0,1,2,0,1,0,13.400,0,15.750,11,30000,True,False,False,False,True,17.145,4,1,3
2019,1,24,2016,11,0,0,2,2,1,1,1,5,70,1,0,1,4,0,1,1,13.400,0,15.750,126,20000,True,False,False,False,True,196.386,10,9,1
2022,0,20,2020,2,1,1,4,2,0,1,1,4,100,0,0,1,1,0,0,0,13.400,0,15.750,11,80000,False,True,False,False,True,17.145,4,1,3
2021,0,22,2019,2,1,1,5,2,0,1,1,3,98,0,0,1,2,1,1,0,13.400,0,15.750,11,40000,False,False,False,False,True,17.145,6,1,5
2022,1,20,2020,2,1,0,5,5,0,1,1,6,100,0,0,1,3,0,1,0,13.400,0,15.750,11,20000,True,False,False,False,True,17.145,4,1,3
2022,1,21,2020,2,0,0,3,2,0,1,1,2,97,0,0,1,2,1,1,0,13.400,0,15.750,11,10000,True,False,False,False,True,17.145,4,1,3
2022,1,21,2020,2,1,1,3,3,0,1,1,1,98,0,0,1,4,0,1,0,13.400,0,15.750,11,10000,True,False,False,False,True,17.145,4,1,3
2022,1,19,2020,2,1,1,5,3,1,1,1,6,90,0,0,1,1,1,0,0,13.400,0,15.750,11,40000,False,True,False,False,True,17.145,4,1,3
2022,1,19,2020,2,1,1,4,2,1,1,1,2,90,0,0,1,2,1,0,0,13.400,0,15.750,11,40000,False,True,False,False,True,17.145,4,1,3
2022,1,19,2020,2,1,0,4,2,0,1,1,1,95,0,0,1,3,0,1,0,13.400,0,15.750,11,25000,True,False,False,False,True,17.145,4,1,3
2022,1,20,2020,2,1,0,5,2,0,1,1,3,95,0,0,1,1,1,0,0,13.400,0,15.750,11,20000,False,True,False,False,True,17.145,4,1,3
2022,1,19,2020,2,1,1,1,1,1,1,1,1,90,0,0,0,2,1,0,0,13.400,0,15.750,11,22000,False,True,False,False,True,17.145,4,1,3
2021,0,20,2020,4,0,0,2,2,0,1,1,3,99,0,0,0,1,0,0,0,18.900,0,19.400,36,200000,True,False,False,False,True,56.110,6,3,3
2022,1,20,2020,2,1,0,7,2,0,1,1,5,90,0,0,1,2,0,0,1,13.400,0,15.750,11,39000,True,False,False,False,True,17.145,4,1,3
2022,1,21,2020,2,1,1,2,1,1,1,1,3,90,0,0,0,1,0,0,0,13.400,0,15.750,11,30000,False,True,False,False,True,17.145,4,1,3
2022,1,21,2020,2,1,1,2,2,0,1,1,2,88,0,0,0,2,1,0,0,20.000,0,20.000,11,20000,False,True,False,False,True,17.145,4,1,3
2022,1,21,2020,2,1,1,5,2,0,1,1,1,95,0,0,1,2,1,0,0,13.400,0,15.750,11,30000,False,True,False,False,True,17.145,4,1,3
2022,1,20,2020,2,1,0,3,1,0,1,1,2,100,0,0,0,1,0,0,0,19.500,0,19.500,12,60000,False,True,False,False,True,18.703,4,1,3
2022,1,20,2020,2,1,1,2,2,0,1,1,1,100,0,0,1,2,0,0,0,13.400,0,15.750,11,40000,True,False,False,False,True,17.145,4,1,3
2022,1,22,2020,2,0,1,1,1,1,1,1,7,80,0,0,1,2,1,0,1,13.400,0,15.750,11,32000,True,False,False,False,True,17.145,4,1,3
2021,1,20,2020,2,1,0,1,2,0,1,1,2,100,0,0,0,1,0,0,0,13.400,0,15.750,11,30000,False,True,False,False,True,17.145,6,1,5
2021,0,20,2020,2,1,1,1,2,0,1,1,1,98,0,0,0,2,1,0,0,13.400,0,15.750,11,40000,False,True,False,False,True,17.145,6,1,5
2022,1,20,2020,2,1,1,4,1,1,1,1,3,85,0,0,1,2,0,0,0,13.400,0,15.750,11,30000,False,True,False,False,True,17.145,4,1,3
2021,0,20,2020,2,1,1,2,1,0,1,1,4,99,0,0,0,2,1,0,0,13.400,0,15.750,11,40000,False,True,False,False,True,17.145,6,1,5
2022,1,20,2020,2,1,1,1,1,0,1,1,4,75,0,0,1,1,0,0,0,13.400,0,15.750,11,35000,False,True,False,False,True,17.145,4,1,3
2021,1,21,2020,4,1,1,3,2,0,1,1,4,85,0,0,1,2,0,1,0,13.400,0,15.750,36,40000,False,True,False,True,False,56.110,6,3,3
2019,1,23,2017,11,0,1,1,2,0,1,1,2,100,0,0,0,2,1,1,0,13.400,0,15.750,126,15000,False,True,False,False,True,196.386,10,9,1
2020,1,21,2019,8,1,0,3,2,0,1,1,5,95,0,0,1,1,0,1,0,19.200,0,19.000,80,23000,False,True,False,False,True,124.690,8,6,2
2020,1,21,2019,8,0,1,3,2,0,1,1,2,95,0,0,1,2,1,1,0,13.400,0,15.750,88,62488,False,False,False,False,True,137.159,8,7,1
2018,1,24,2016,12,1,0,2,2,0,1,1,4,70,0,0,1,2,1,1,0,16.550,0,17.600,132,350000,False,True,False,False,True,205.738,12,10,2
2020,1,22,2019,8,0,0,3,2,1,1,1,4,100,0,0,1,2,0,1,0,13.400,0,15.750,88,50000,False,True,False,False,True,137.159,8,7,1
2022,0,21,2020,2,1,0,3,1,1,1,1,2,95,0,0,1,1,0,0,0,13.400,0,15.750,11,40000,False,False,False,False,True,17.145,4,1,3
2022,1,20,2020,2,0,0,3,2,0,1,1,2,100,0,0,1,5,0,1,0,13.400,0,15.750,11,35000,False,True,False,True,False,17.145,4,1,3
2020,0,21,2019,8,1,1,3,2,0,1,1,2,80,0,0,1,2,0,0,0,13.400,0,15.750,88,35000,True,False,False,False,True,137.159,8,7,1
2022,1,21,2020,2,0,0,8,2,1,1,1,1,100,0,0,1,2,1,1,0,13.400,0,15.750,11,30000,True,False,False,False,True,17.145,4,1,3
2020,1,23,2018,8,1,1,2,2,1,1,1,1,90,0,0,1,1,0,0,0,13.400,0,15.750,88,40000,False,True,False,False,True,137.159,8,7,1
2022,1,20,2020,2,1,1,4,1,0,1,1,1,95,0,0,1,1,1,0,0,13.400,0,15.750,11,35000,False,True,False,False,True,17.145,4,1,3
2020,0,21,2019,8,0,1,1,1,1,1,1,2,95,0,0,0,2,0,0,1,13.400,0,15.750,88,40000,False,True,False,False,True,137.159,8,7,1
2018,0,24,2017,12,0,1,2,2,0,1,1,3,80,1,0,1,1,1,0,0,13.400,0,15.750,136,30000,False,True,True,False,False,211.972,12,10,2
2020,1,22,2019,8,0,0,3,1,1,1,1,1,100,0,0,0,8,1,1,0,13.400,0,15.750,88,35000,False,True,False,False,True,137.159,8,7,1
2020,1,21,2019,8,0,1,4,1,0,1,1,2,95,0,0,1,2,0,1,0,13.400,0,15.750,88,25000,True,False,False,False,True,137.159,8,7,1
2022,0,20,2020,2,1,1,5,3,0,1,0,2,99,0,0,1,2,1,0,1,13.400,0,15.750,11,600000,True,False,False,False,True,17.145,4,1,3
2022,0,20,2019,2,1,1,4,3,0,1,1,4,100,0,0,1,2,0,0,0,13.400,0,15.750,11,35000,True,False,False,False,False,17.145,4,1,3
2020,0,20,2019,8,1,0,1,1,0,1,1,5,80,0,0,1,2,0,1,0,17.450,0,18.350,71,40000,False,True,True,False,False,110.662,8,5,3
2020,1,21,2019,8,0,0,4,1,1,1,1,2,100,0,0,1,2,0,1,0,15.350,0,13.700,85,20000,False,True,False,False,True,132.483,8,6,2
2019,1,21,2019,8,0,1,3,1,0,1,1,8,85,0,0,1,1,0,0,0,13.400,0,15.750,88,20000,False,True,False,False,True,137.159,10,7,3
2019,0,21,2019,8,0,1,3,1,0,1,1,1,95,0,0,1,1,0,0,0,18.800,0,17.500,83,92000,False,True,False,False,True,129.366,10,6,4
2020,1,22,2019,8,0,1,3,1,0,0,1,1,98,0,0,0,2,0,0,0,13.500,0,14.000,80,35000,False,True,False,False,True,124.690,8,6,2
2020,1,22,2019,8,0,0,2,1,0,1,1,2,95,0,0,0,2,0,1,0,13.400,0,15.750,88,20000,False,True,False,False,True,137.159,8,7,1
2020,1,23,2017,8,0,1,1,1,1,1,1,1,99,0,0,1,2,1,0,0,13.400,0,15.750,88,15000,False,True,False,False,True,137.159,8,7,1
2020,1,23,2017,8,1,1,2,1,1,1,1,1,96,0,0,0,2,1,0,0,13.400,0,15.750,88,30000,False,True,False,False,True,137.159,8,7,1
2022,1,21,2020,2,0,1,3,1,0,1,1,1,95,0,0,1,2,1,0,0,18.250,0,15.750,11,45000,False,True,False,False,True,17.145,4,1,3
2020,1,22,2019,8,0,1,1,1,0,1,1,15,100,0,0,1,1,0,0,0,13.400,0,15.750,88,90000,False,True,False,True,False,137.159,8,7,1
2020,0,21,2019,8,0,0,2,2,0,1,1,2,80,0,0,0,1,0,0,0,13.400,0,15.750,88,35000,True,False,False,False,True,137.159,8,7,1
2020,1,20,2019,8,1,1,2,1,1,1,1,3,95,0,0,0,3,0,1,0,13.400,0,15.750,88,20000,True,False,False,False,True,137.159,8,7,1
2021,1,21,2020,2,1,1,4,2,0,1,1,2,88,0,0,1,2,1,1,0,13.400,0,15.750,11,100000,False,True,False,False,True,17.145,6,1,5
2019,1,23,2018,11,1,0,6,2,0,1,1,3,100,0,0,0,2,1,1,0,19.200,0,15.500,73,30000,False,True,False,False,True,113.779,10,6,4
2022,0,20,2020,2,0,0,2,1,0,1,1,6,80,1,0,0,2,0,1,0,13.400,0,15.750,11,70000,False,True,False,False,True,17.145,4,1,3
2018,0,24,2016,10,0,1,2,1,1,1,1,4,90,1,0,0,4,0,0,0,13.400,0,15.750,113,40000,True,False,False,False,True,176.124,12,8,4
2022,0,21,2020,2,1,0,2,4,0,1,1,1,100,0,0,1,2,1,1,0,13.400,0,15.750,11,10000,True,False,False,False,False,17.145,4,1,3
2021,1,20,2020,4,1,1,2,1,0,1,1,2,82,0,0,1,4,0,1,0,13.400,0,15.750,36,40000,False,False,False,True,False,56.110,6,3,3
2021,1,22,2020,4,1,1,1,1,0,1,1,1,90,0,0,0,0,0,0,0,13.400,0,15.750,36,20000,False,True,False,False,True,56.110,6,3,3
2021,1,20,2019,5,0,0,3,2,0,1,1,1,98,0,0,0,8,1,1,0,13.400,0,15.750,50,22000,False,True,False,False,True,77.931,6,4,2
2019,1,23,2017,11,0,1,3,2,1,1,1,1,85,1,0,1,2,0,1,1,13.400,0,15.750,126,45000,False,True,False,False,True,196.386,10,9,1
2020,0,21,2019,8,0,1,4,1,0,1,1,3,90,0,0,1,1,0,0,0,13.400,0,15.750,88,40000,False,True,False,False,True,137.159,8,7,1
2022,0,20,2020,2,1,1,2,1,0,1,1,5,90,0,0,1,1,0,0,1,13.400,0,15.750,11,50000,False,True,False,False,True,17.145,4,1,3
2020,0,22,2019,8,1,0,3,1,0,1,1,4,90,0,0,1,2,0,1,0,13.400,0,15.750,88,50000,False,True,False,False,True,137.159,8,7,1
2018,1,23,2017,13,0,0,2,4,0,1,1,6,88,1,0,1,1,0,1,0,13.400,0,15.750,112,30000,True,False,False,True,False,174.566,12,8,4
2022,1,20,2020,2,1,0,3,4,0,1,1,1,95,0,0,1,5,0,1,0,13.400,0,15.750,11,40000,True,False,False,False,True,17.145,4,1,3
2021,1,19,2020,4,1,0,1,1,0,1,0,1,95,0,0,1,1,1,0,0,17.500,0,17.900,35,30000,False,True,False,False,True,54.552,6,3,3
2021,1,21,2019,4,1,1,4,2,0,1,1,1,90,0,0,0,2,1,0,0,16.900,0,19.100,27,40000,False,True,False,False,True,42.083,6,2,4
2020,1,21,2019,8,0,0,2,2,0,1,1,1,90,1,1,1,1,0,1,0,13.400,0,15.750,88,30000,False,True,False,False,True,137.159,8,7,1
2019,0,22,2017,10,0,0,9,3,1,1,1,1,88,1,0,0,1,0,1,0,13.400,0,15.750,113,62488,False,True,False,False,True,176.124,10,8,2
2022,0,19,2020,2,1,1,3,2,0,1,1,2,100,0,0,1,3,1,0,0,13.400,0,15.750,11,35000,True,False,False,False,True,17.145,4,1,3
2022,0,22,2022,4,1,0,1,1,0,1,1,10,80,1,0,0,2,0,0,0,13.400,0,15.750,36,100000,True,False,False,False,True,56.110,4,3,1
2021,1,22,2018,4,1,0,3,2,0,1,1,3,80,0,0,1,3,0,1,0,13.400,0,15.750,36,30000,False,True,False,False,True,56.110,6,3,3
2019,0,21,2019,9,0,0,2,3,0,1,1,3,92,1,0,1,1,1,1,0,9.450,0,13.450,86,20000,True,False,False,False,True,134.041,10,6,4
2021,0,19,2020,4,1,0,7,3,0,1,0,3,90,0,0,1,1,1,0,0,18.500,0,18.850,35,62488,False,False,False,False,True,54.552,6,3,3
2022,1,19,2020,2,1,0,4,2,0,1,1,2,95,0,0,1,2,1,0,0,13.400,0,15.750,11,30000,False,True,False,False,True,17.145,4,1,3
2022,1,21,2019,2,1,0,5,2,0,1,1,3,95,0,0,0,2,0,1,0,13.400,0,15.750,11,20000,False,True,False,False,True,17.145,4,1,3
2019,1,25,2018,11,1,0,2,1,0,1,1,2,70,1,0,0,4,0,1,1,0.000,0,12.650,91,30000,False,True,False,False,True,141.834,10,7,3
2019,0,22,2019,9,0,1,3,3,1,1,0,2,99,0,0,1,2,0,0,1,13.400,0,15.750,100,20000,True,False,False,False,True,155.862,10,7,3
2018,1,24,2017,13,0,0,2,2,0,1,1,4,50,1,1,1,5,1,1,0,11.000,0,13.300,110,60000,True,False,True,False,False,171.448,12,8,4
2017,1,22,2017,15,1,0,1,1,0,1,1,4,100,1,0,1,4,0,1,1,13.000,0,13.000,90,62488,False,False,False,False,True,140.276,14,7,7
2019,0,22,2018,11,0,1,3,1,0,1,1,3,95,0,0,1,0,0,0,1,13.500,0,14.550,120,150000,False,True,True,False,False,187.034,10,9,1
2018,1,23,2017,14,0,0,2,2,1,1,1,1,90,1,1,1,2,1,0,0,14.350,0,14.950,120,30000,False,True,False,False,True,187.034,12,9,3
2021,1,20,2019,5,0,0,4,4,0,1,1,1,95,1,0,0,4,0,1,0,13.400,0,15.750,50,25000,False,True,False,False,True,77.931,6,4,2
2019,1,23,2017,9,0,1,2,1,1,1,1,4,70,0,0,1,4,1,0,0,13.400,0,15.750,100,200000,False,True,False,True,False,155.862,10,7,3
2015,1,26,2012,21,0,0,1,1,0,1,1,1,85,1,0,0,1,0,1,1,13.400,1,15.750,77,50000,True,False,False,False,True,120.014,18,6,12
2019,1,22,2019,9,0,0,3,5,1,1,1,1,99,0,0,0,3,0,1,0,13.400,0,15.750,100,40000,False,True,False,False,True,155.862,10,7,3
2019,1,23,2018,9,0,1,1,1,0,1,1,1,70,0,0,0,1,1,0,1,13.500,0,14.600,76,15000,False,True,False,True,False,118.455,10,6,4
2019,1,21,2018,11,0,1,2,1,0,1,1,1,73,0,0,1,2,0,0,0,13.400,0,15.750,126,75000,False,True,False,False,True,196.386,10,9,1
2019,1,22,2018,11,0,0,2,2,1,1,1,1,100,1,1,1,2,0,1,1,13.400,0,15.750,126,40000,False,True,False,False,True,196.386,10,9,1
2018,0,23,2016,14,0,1,3,2,0,1,1,1,70,1,0,0,2,0,1,1,14.900,1,14.800,118,20000,True,False,False,False,True,183.917,12,9,3
2019,0,21,2018,11,0,0,1,1,0,1,1,2,75,0,0,1,2,0,0,0,13.400,0,15.750,126,40000,False,False,False,True,False,196.386,10,9,1
2021,0,20,2019,2,1,0,5,2,0,1,1,7,80,0,0,0,2,1,1,1,13.400,0,15.750,11,62488,True,False,False,False,True,17.145,6,1,5
2019,0,21,2019,9,0,0,6,3,0,1,1,2,88,0,0,1,4,0,1,0,13.400,0,15.750,100,62488,False,True,False,False,True,155.862,10,7,3
2019,1,22,2019,9,0,0,3,4,0,1,1,2,99,0,0,0,7,0,1,0,17.600,0,14.500,100,15000,False,True,False,False,True,155.862,10,7,3
2020,1,23,2018,8,1,1,4,5,0,1,1,3,100,0,0,1,2,1,1,0,17.400,0,15.400,68,20000,False,True,False,False,True,105.986,8,5,3
2016,1,25,2014,11,1,1,2,1,1,1,1,3,90,1,0,1,3,1,0,0,13.400,0,15.750,126,63000,False,False,False,False,True,196.386,16,9,7
2019,0,22,2018,11,1,1,1,2,1,1,1,3,80,0,0,0,3,0,0,0,13.400,0,15.750,126,50000,True,False,False,False,True,196.386,10,9,1
2020,1,20,2019,6,0,0,2,2,1,1,1,5,90,1,0,0,2,0,0,0,13.400,0,15.750,65,40000,True,False,False,False,True,101.310,8,5,3
2018,1,25,2016,14,0,0,6,4,1,1,1,2,2,1,0,1,4,1,0,0,15.800,0,13.400,121,60000,False,False,False,False,True,188.593,12,9,3
2021,0,21,2019,5,0,0,2,3,0,1,1,1,87,1,0,1,1,0,0,0,9.600,0,12.100,39,60000,True,False,True,False,False,60.786,6,3,3
2021,1,20,2020,4,0,1,2,1,0,1,1,2,80,0,0,1,4,0,0,1,13.400,0,15.750,36,30000,False,True,False,False,True,56.110,6,3,3
2015,1,27,2014,10,0,1,5,2,1,1,1,6,50,1,0,1,2,0,0,0,13.400,0,15.750,113,7000,True,False,False,False,True,176.124,18,8,10
2019,0,22,2018,11,0,0,8,3,1,1,1,4,99,0,0,1,4,0,1,0,13.400,0,15.750,126,20000,False,True,False,False,True,196.386,10,9,1
2022,1,20,2020,2,0,1,3,3,0,1,1,1,99,0,0,0,1,0,0,0,13.400,0,15.750,11,20000,False,True,False,False,True,17.145,4,1,3
2020,1,22,2018,7,0,1,1,1,0,1,1,5,70,1,0,1,1,0,0,0,13.400,0,15.750,77,20000,True,False,False,False,True,120.014,8,6,2
2022,1,21,2020,2,1,1,7,2,1,1,1,1,100,0,0,1,3,1,0,0,13.400,0,15.750,11,30000,False,True,False,False,True,17.145,4,1,3
2018,1,23,2017,13,0,0,2,1,0,1,1,1,75,1,1,1,3,0,1,0,13.400,0,15.750,136,35000,True,False,False,False,True,211.972,12,10,2
2020,0,23,2020,8,1,0,6,3,0,1,1,6,100,0,0,1,2,0,1,0,13.400,0,15.750,88,62488,False,True,False,False,True,137.159,8,7,1
2017,0,25,2015,8,0,0,2,2,0,1,1,1,100,0,0,1,2,0,0,0,13.400,0,15.750,88,60000,False,True,True,False,False,137.159,14,7,7
2022,0,20,2020,2,0,1,4,3,0,1,0,2,88,0,0,1,3,0,1,0,13.400,0,15.750,11,60000,False,True,False,False,True,17.145,4,1,3
2021,1,21,2020,4,1,1,2,2,0,1,1,2,80,0,0,1,2,1,0,0,13.400,0,15.750,36,50000,False,False,False,True,False,56.110,6,3,3
2015,0,26,2014,22,0,1,2,2,1,1,1,3,80,1,1,0,2,1,0,1,13.400,0,15.750,77,30000,False,True,True,False,False,120.014,18,6,12
2019,1,23,2018,11,0,1,5,5,0,1,1,3,90,0,0,1,2,0,1,0,16.450,0,16.150,114,28000,False,True,False,False,True,177.683,10,8,2
2019,0,22,2018,11,0,1,3,1,0,1,1,3,100,0,0,1,3,1,0,0,13.400,0,15.750,126,60000,False,True,False,False,True,196.386,10,9,1
2017,1,23,2017,12,0,0,2,2,0,1,1,1,100,1,0,1,3,0,1,0,13.400,0,15.750,136,90000,False,False,False,False,True,211.972,14,10,4
2017,1,24,2017,15,0,0,3,2,1,1,1,3,80,1,0,1,4,0,1,0,13.400,0,15.750,113,200000,False,False,False,False,True,176.124,14,8,6
2020,0,21,2019,8,0,0,4,2,0,1,1,1,100,0,0,0,1,1,0,0,13.400,0,15.750,88,50000,False,True,False,False,True,137.159,8,7,1
2019,0,22,2018,9,0,1,3,1,0,1,1,5,80,1,0,0,3,0,1,1,10.000,0,11.100,77,4000,True,False,True,False,False,120.014,10,6,4
2022,1,19,2020,2,1,1,3,2,0,1,1,3,90,0,0,1,1,0,0,0,13.400,0,15.750,11,40000,True,False,False,False,True,17.145,4,1,3
2019,0,21,2018,10,0,0,5,1,0,1,1,3,80,1,0,1,2,0,1,1,16.500,0,16.200,105,80000,False,True,False,False,True,163.655,10,8,2
2019,1,23,2017,10,0,1,3,2,1,1,1,2,90,0,0,1,3,0,1,1,13.400,0,15.750,113,35000,True,False,False,False,True,176.124,10,8,2
2019,1,21,2018,9,0,0,1,1,1,1,1,12,90,0,0,1,6,0,1,0,15.050,0,13.800,79,65000,False,True,False,False,True,123.131,10,6,4
2018,1,23,2017,12,0,0,4,1,0,1,1,2,97,0,0,1,4,0,1,0,13.400,0,15.750,136,20000,False,True,False,False,True,211.972,12,10,2
2019,1,22,2018,9,0,0,3,2,0,1,1,3,95,0,0,1,2,0,1,0,16.000,0,16.500,103,40000,True,False,False,False,True,160.538,10,8,2
2018,0,23,2017,12,0,0,3,2,1,1,1,2,80,1,0,1,2,1,0,0,13.400,0,15.750,136,100000,False,False,False,False,True,211.972,12,10,2
2022,0,20,2020,2,1,0,4,1,0,1,1,6,90,0,0,1,2,0,1,0,13.400,0,15.750,11,50000,True,False,False,False,True,17.145,4,1,3
2018,1,25,2015,12,1,0,1,3,0,0,1,1,90,0,0,0,1,0,1,0,13.400,0,15.750,136,20000,False,True,False,False,True,211.972,12,10,2
