Gender,Age,H.S.C passing year,Current Semester,Do you have meritorious scholarship ?,Do you use University transportation?,How many hour do you study daily?,How many times do you seat for study in a day?,What is your preferable learning mode?,Do you use smart phone?,Do you have personal Computer?,How many hour do you spent daily in social media?,Average attendance on class,Did you ever fall in probation?,Did you ever got suspension?,Do you attend in teacher consultancy for any kind of academical problems?,How many hour do you spent daily on your skill development?,Are you engaged with any co-curriculum activities?,With whom you are living with?,Do you have any health issues?,What was your previous SGPA?,Do you have any physical disabilities?,How many Credit did you have completed?,What is your monthly family income?,performance,Status of your English language proficiency_Basic,Status of your English language proficiency_Intermediate,What is your relationship status?_Married,What is your relationship status?_Relationship,What is your relationship status?_Single
0,22,2017,10,0,0,9,3,1,1,1,1,88,1,0,0,1,0,1,0,2.68,0,113,62488,2,False,True,False,False,True
0,19,2020,2,1,1,3,2,0,1,1,2,100,0,0,1,3,1,0,0,2.68,0,11,35000,2,True,False,False,False,True
0,22,2022,4,1,0,1,1,0,1,1,10,80,1,0,0,2,0,0,0,2.68,0,36,100000,2,True,False,False,False,True
1,22,2018,4,1,0,3,2,0,1,1,3,80,0,0,1,3,0,1,0,2.68,0,36,30000,2,False,True,False,False,True
0,21,2019,9,0,0,2,3,0,1,1,3,92,1,0,1,1,1,1,0,1.89,0,86,20000,2,True,False,False,False,True
0,19,2020,4,1,0,7,3,0,1,0,3,90,0,0,1,1,1,0,0,3.7,0,35,62488,2,False,False,False,False,True
1,19,2020,2,1,0,4,2,0,1,1,2,95,0,0,1,2,1,0,0,2.68,0,11,30000,2,False,True,False,False,True
1,21,2019,2,1,0,5,2,0,1,1,3,95,0,0,0,2,0,1,0,2.68,0,11,20000,2,False,True,False,False,True
1,25,2018,11,1,0,2,1,0,1,1,2,70,1,0,0,4,0,1,1,0.0,0,91,30000,2,False,True,False,False,True
0,22,2019,9,0,1,3,3,1,1,0,2,99,0,0,1,2,0,0,1,2.68,0,100,20000,2,True,False,False,False,True
1,24,2017,13,0,0,2,2,0,1,1,4,50,1,1,1,5,1,1,0,2.2,0,110,60000,2,True,False,True,False,False
1,22,2017,15,1,0,1,1,0,1,1,4,100,1,0,1,4,0,1,1,2.6,0,90,62488,1,False,False,False,False,True
0,22,2018,11,0,1,3,1,0,1,1,3,95,0,0,1,0,0,0,1,2.7,0,120,150000,2,False,True,True,False,False
1,23,2017,14,0,0,2,2,1,1,1,1,90,1,1,1,2,1,0,0,2.87,0,120,30000,2,False,True,False,False,True
1,20,2019,5,0,0,4,4,0,1,1,1,95,1,0,0,4,0,1,0,2.68,0,50,25000,2,False,True,False,False,True
1,23,2017,9,0,1,2,1,1,1,1,4,70,0,0,1,4,1,0,0,2.68,0,100,200000,2,False,True,False,True,False
1,26,2012,21,0,0,1,1,0,1,1,1,85,1,0,0,1,0,1,1,2.68,1,77,50000,2,True,False,False,False,True
1,22,2019,9,0,0,3,5,1,1,1,1,99,0,0,0,3,0,1,0,2.68,0,100,40000,2,False,True,False,False,True
1,23,2018,9,0,1,1,1,0,1,1,1,70,0,0,0,1,1,0,1,2.7,0,76,15000,2,False,True,False,True,False
1,21,2018,11,0,1,2,1,0,1,1,1,73,0,0,1,2,0,0,0,2.68,0,126,75000,2,False,True,False,False,True
1,22,2018,11,0,0,2,2,1,1,1,1,100,1,1,1,2,0,1,1,2.68,0,126,40000,2,False,True,False,False,True
0,23,2016,14,0,1,3,2,0,1,1,1,70,1,0,0,2,0,1,1,2.98,1,118,20000,0,True,False,False,False,True
0,21,2018,11,0,0,1,1,0,1,1,2,75,0,0,1,2,0,0,0,2.68,0,126,40000,2,False,False,False,True,False
0,20,2019,2,1,0,5,2,0,1,1,7,80,0,0,0,2,1,1,1,2.68,0,11,62488,2,True,False,False,False,True
0,21,2019,9,0,0,6,3,0,1,1,2,88,0,0,1,4,0,1,0,2.68,0,100,62488,2,False,True,False,False,True
1,22,2019,9,0,0,3,4,0,1,1,2,99,0,0,0,7,0,1,0,3.52,0,100,15000,0,False,True,False,False,True
1,23,2018,8,1,1,4,5,0,1,1,3,100,0,0,1,2,1,1,0,3.48,0,68,20000,0,False,True,False,False,True
1,25,2014,11,1,1,2,1,1,1,1,3,90,1,0,1,3,1,0,0,2.68,0,126,63000,2,False,False,False,False,True
