Gender,Age,H.S.C passing year,Do you have meritorious scholarship ?,Do you use University transportation?,How many hour do you study daily?,How many times do you seat for study in a day?,What is your preferable learning mode?,Do you use smart phone?,Do you have personal Computer?,How many hour do you spent daily in social media?,Average attendance on class,Did you ever fall in probation?,Did you ever got suspension?,Do you attend in teacher consultancy for any kind of academical problems?,How many hour do you spent daily on your skill development?,Are you engaged with any co-curriculum activities?,With whom you are living with?,Do you have any health issues?,What was your previous SGPA?,Do you have any physical disabilities?,What is your current CGPA?,What is your monthly family income?,Creditos_Normalizados,Semestres_Teoricos,Semestres_Reales,Semestres_Extra,Status of your English language proficiency_Basic,Status of your English language proficiency_Intermediate,What is your relationship status?_Married,What is your relationship status?_Relationship,What is your relationship status?_Single
0,20,2020,0,0,2,2,0,1,1,3,99,0,0,0,1,0,0,0,18.900,0,19.400,200000,56.100,8,4,-4,True,False,False,False,True
1,20,2020,1,0,7,2,0,1,1,5,90,0,0,1,2,0,0,1,13.400,0,15.750,39000,17.100,6,2,-4,True,False,False,False,True
1,21,2020,1,1,2,1,1,1,1,3,90,0,0,0,1,0,0,0,13.400,0,15.750,30000,17.100,6,2,-4,False,True,False,False,True
1,21,2020,1,1,2,2,0,1,1,2,88,0,0,0,2,1,0,0,20.000,0,20.000,20000,17.100,6,2,-4,False,True,False,False,True
1,21,2020,1,1,5,2,0,1,1,1,95,0,0,1,2,1,0,0,13.400,0,15.750,30000,17.100,6,2,-4,False,True,False,False,True
1,20,2020,1,0,3,1,0,1,1,2,100,0,0,0,1,0,0,0,19.500,0,19.500,60000,18.700,6,2,-4,False,True,False,False,True
1,20,2020,1,1,2,2,0,1,1,1,100,0,0,1,2,0,0,0,13.400,0,15.750,40000,17.100,6,2,-4,True,False,False,False,True
1,22,2020,0,1,1,1,1,1,1,7,80,0,0,1,2,1,0,1,13.400,0,15.750,32000,17.100,6,2,-4,True,False,False,False,True
1,20,2020,1,0,1,2,0,1,1,2,100,0,0,0,1,0,0,0,13.400,0,15.750,30000,17.100,8,2,-6,False,True,False,False,True
0,20,2020,1,1,1,2,0,1,1,1,98,0,0,0,2,1,0,0,13.400,0,15.750,40000,17.100,8,2,-6,False,True,False,False,True
1,20,2020,1,1,4,1,1,1,1,3,85,0,0,1,2,0,0,0,13.400,0,15.750,30000,17.100,6,2,-4,False,True,False,False,True
0,20,2020,1,1,2,1,0,1,1,4,99,0,0,0,2,1,0,0,13.400,0,15.750,40000,17.100,8,2,-6,False,True,False,False,True
1,20,2020,1,1,1,1,0,1,1,4,75,0,0,1,1,0,0,0,13.400,0,15.750,35000,17.100,6,2,-4,False,True,False,False,True
1,21,2020,1,1,3,2,0,1,1,4,85,0,0,1,2,0,1,0,13.400,0,15.750,40000,56.100,8,4,-4,False,True,False,True,False
1,23,2017,0,1,1,2,0,1,1,2,100,0,0,0,2,1,1,0,13.400,0,15.750,15000,196.400,12,11,-1,False,True,False,False,True
1,21,2019,1,0,3,2,0,1,1,5,95,0,0,1,1,0,1,0,19.200,0,19.000,23000,124.700,10,8,-2,False,True,False,False,True
1,21,2019,0,1,3,2,0,1,1,2,95,0,0,1,2,1,1,0,13.400,0,15.750,62488,137.200,10,8,-2,False,False,False,False,True
1,24,2016,1,0,2,2,0,1,1,4,70,0,0,1,2,1,1,0,16.550,0,17.600,350000,205.700,14,12,-2,False,True,False,False,True
1,22,2019,0,0,3,2,1,1,1,4,100,0,0,1,2,0,1,0,13.400,0,15.750,50000,137.200,10,8,-2,False,True,False,False,True
0,21,2020,1,0,3,1,1,1,1,2,95,0,0,1,1,0,0,0,13.400,0,15.750,40000,17.100,6,2,-4,False,False,False,False,True
1,20,2020,0,0,3,2,0,1,1,2,100,0,0,1,5,0,1,0,13.400,0,15.750,35000,17.100,6,2,-4,False,True,False,True,False
0,21,2019,1,1,3,2,0,1,1,2,80,0,0,1,2,0,0,0,13.400,0,15.750,35000,137.200,10,8,-2,True,False,False,False,True
1,21,2020,0,0,8,2,1,1,1,1,100,0,0,1,2,1,1,0,13.400,0,15.750,30000,17.100,6,2,-4,True,False,False,False,True
1,23,2018,1,1,2,2,1,1,1,1,90,0,0,1,1,0,0,0,13.400,0,15.750,40000,137.200,10,8,-2,False,True,False,False,True
1,20,2020,1,1,4,1,0,1,1,1,95,0,0,1,1,1,0,0,13.400,0,15.750,35000,17.100,6,2,-4,False,True,False,False,True
0,21,2019,0,1,1,1,1,1,1,2,95,0,0,0,2,0,0,1,13.400,0,15.750,40000,137.200,10,8,-2,False,True,False,False,True
0,24,2017,0,1,2,2,0,1,1,3,80,1,0,1,1,1,0,0,13.400,0,15.750,30000,212.000,14,12,-2,False,True,True,False,False
1,22,2019,0,0,3,1,1,1,1,1,100,0,0,0,8,1,1,0,13.400,0,15.750,35000,137.200,10,8,-2,False,True,False,False,True
1,21,2019,0,1,4,1,0,1,1,2,95,0,0,1,2,0,1,0,13.400,0,15.750,25000,137.200,10,8,-2,True,False,False,False,True
0,20,2020,1,1,5,3,0,1,0,2,99,0,0,1,2,1,0,1,13.400,0,15.750,600000,17.100,6,2,-4,True,False,False,False,True
0,20,2019,1,1,4,3,0,1,1,4,100,0,0,1,2,0,0,0,13.400,0,15.750,35000,17.100,6,2,-4,True,False,False,False,False
0,20,2019,1,0,1,1,0,1,1,5,80,0,0,1,2,0,1,0,17.450,0,18.350,40000,110.700,10,8,-2,False,True,True,False,False
1,21,2019,0,0,4,1,1,1,1,2,100,0,0,1,2,0,1,0,15.350,0,13.700,20000,132.500,10,8,-2,False,True,False,False,True
1,21,2019,0,1,3,1,0,1,1,8,85,0,0,1,1,0,0,0,13.400,0,15.750,20000,137.200,12,8,-4,False,True,False,False,True
0,21,2019,0,1,3,1,0,1,1,1,95,0,0,1,1,0,0,0,18.800,0,17.500,92000,129.400,12,8,-4,False,True,False,False,True
1,22,2019,0,1,3,1,0,0,1,1,98,0,0,0,2,0,0,0,13.500,0,14.000,35000,124.700,10,8,-2,False,True,False,False,True
